white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Abdusattorov, Nodirbek",Gukesh D,55th Biel GM 2022,2022.07.14,0.15378378378378374,0.15378378378378374,0.158,0.018,0.3929999999999999,,0.7837837837837838,0.7837837837837838,0.9,0.8,1.0,,0.8108108108108109,0.8108108108108109,0.9,0.9,1.0,,0.7620562510272648,0.7620562510272648
Gukesh D,"Naiditsch, Arkadij",55th Biel GM 2022,2022.07.15,-0.005555555555555554,-0.005555555555555554,-0.005555555555555554,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.02068278940998476,0.02068278940998476
"Le, Quang Liem",Gukesh D,55th Biel GM 2022,2022.07.16,0.1979487179487179,0.1979487179487179,0.10299999999999998,0.349,0.31999999999999995,,0.6153846153846154,0.6153846153846154,0.2,0.7,1.0,,0.6666666666666666,0.6666666666666666,0.4,0.7,1.0,,0.41308326857260735,0.41308326857260735
Gukesh D,"Esipenko, Andrey",55th Biel GM 2022,2022.07.19,0.3976470588235294,0.3976470588235294,0.137,0.21400000000000005,0.974,,0.38235294117647056,0.38235294117647056,0.4,0.2,0.75,,0.47058823529411764,0.47058823529411764,0.5,0.2,0.75,,0.8062372717286276,0.8062372717286276
"Keymer, Vincent",Gukesh D,55th Biel GM 2022,2022.07.20,0.028421052631578944,0.040499999999999994,0.13800000000000004,0.023999999999999987,0.0,0.0,0.8421052631578947,0.775,0.6,1.0,1.0,1.0,0.8596491228070176,0.8,0.7,1.0,1.0,1.0,0.13106418102926595,0.15544724556532408
Gukesh D,"Kamsky, Gata",55th Biel GM 2022,2022.07.21,0.10366666666666666,0.10366666666666666,0.172,0.089,0.05,,0.5,0.5,0.6,0.7,,,0.5666666666666667,0.5666666666666667,0.7,0.8,,,0.15048160234287164,0.15048160234287164
"Salem, A.R. Saleh",Gukesh D,55th Biel GM 2022,2022.07.22,0.2739130434782609,0.31500000000000006,0.211,0.18899999999999997,0.5409999999999999,0.0,0.45652173913043476,0.375,0.7,0.3,0.2,1.0,0.5,0.425,0.7,0.3,0.2,1.0,0.49759188212773353,0.5219342723134635
Gukesh D,"Imtiaz, Islam Bora",58th ch-IND 2022,2022.02.25,0.04444444444444442,0.04444444444444442,0.04444444444444442,,,,0.5555555555555556,0.5555555555555556,,,,,0.5555555555555556,0.5555555555555556,,,,,0.1485859272534845,0.1485859272534845
Ayushh Ravikumar,Gukesh D,58th ch-IND 2022,2022.02.25,0.11702702702702703,0.11702702702702703,0.10300000000000002,0.41200000000000003,-0.08200000000000003,,0.5135135135135135,0.5135135135135135,0.0,0.9,1.0,,0.5945945945945946,0.5945945945945946,0.0,0.9,1.0,,0.3145443341377145,0.3145443341377145
Gukesh D,"Sammed Jaykumar, Shete",58th ch-IND 2022,2022.02.26,0.051388888888888866,0.051388888888888866,0.191,0.008999999999999985,-0.015000000000000036,,0.6944444444444444,0.6944444444444444,0.5,1.0,1.0,,0.75,0.75,0.7,1.0,1.0,,0.4232064864327225,0.4232064864327225
Utsab Chatterjee,Gukesh D,58th ch-IND 2022,2022.02.26,0.2326666666666667,0.2326666666666667,0.168,0.231,0.299,,0.6666666666666666,0.6666666666666666,0.7,0.7,,,0.6666666666666666,0.6666666666666666,0.7,0.7,,,0.4396388277331459,0.4396388277331459
Gukesh D,Erigaisi Arjun,58th ch-IND 2022,2022.02.27,0.035,0.035,0.091,0.035,-0.0,,0.8611111111111112,0.8611111111111112,0.9,1.0,1.0,,0.8888888888888888,0.8888888888888888,0.9,1.0,1.0,,0.16785197560435716,0.16785197560435716
Koustav Chatterjee,Gukesh D,58th ch-IND 2022,2022.02.28,0.1458823529411765,0.11699999999999999,0.147,0.13299999999999998,0.06100000000000001,0.25090909090909097,0.5882352941176471,0.525,0.3,0.8,0.6,0.8181818181818182,0.6274509803921569,0.575,0.5,0.8,0.6,0.8181818181818182,0.5723781144334162,0.17528292148438923
Gukesh D,"Aravindh, Chithambaram VR.",58th ch-IND 2022,2022.02.28,0.30610169491525424,0.4415000000000001,0.118,0.10799999999999998,0.76,0.02105263157894737,0.4915254237288136,0.375,0.8,0.2,0.2,0.7368421052631579,0.5932203389830508,0.5,0.8,0.2,0.2,0.7894736842105263,0.6315362139100468,0.7288788369642509
Lalith Babu M R,Gukesh D,58th ch-IND 2022,2022.03.01,0.0775,0.0775,0.13000000000000003,0.024999999999999998,,,0.55,0.55,0.7,,,,0.65,0.65,0.8,,,,0.12199547014886294,0.12199547014886294
Gukesh D,"Iniyan, P",58th ch-IND 2022,2022.03.01,0.26545454545454544,0.255,0.22300000000000003,0.32199999999999995,0.37,0.29333333333333333,0.43636363636363634,0.3,0.2,0.2,0.6,0.8,0.509090909090909,0.375,0.3,0.3,0.6,0.8666666666666667,0.6484049322984491,0.4049564712283823
"Gupta, Abhijeet",Gukesh D,58th ch-IND 2022,2022.03.02,0.18833333333333335,0.21975000000000006,0.30399999999999994,0.15899999999999997,0.22200000000000003,0.0985714285714286,0.5370370370370371,0.4,0.5,0.3,0.4,0.9285714285714286,0.6111111111111112,0.5,0.6,0.4,0.6,0.9285714285714286,0.39501970335381487,0.3489139744098272
Gukesh D,"Aryan, C",58th ch-IND 2022,2022.03.03,0.08199999999999999,0.08199999999999999,0.13,0.033999999999999996,,,0.7,0.7,0.7,,,,0.75,0.75,0.7,,,,0.2655005203682084,0.2655005203682084
Gukesh D,"Sanal, V",5th Sharjah Masters 2022,2022.05.21,0.20925925925925923,0.15299999999999997,0.139,0.16299999999999998,0.25,0.37,0.6481481481481481,0.65,0.5,0.8,0.9,0.6428571428571429,0.7407407407407407,0.725,0.6,0.8,0.9,0.7857142857142857,0.6883775068185919,0.47882977008321936
"Sindarov, Javokhir",Gukesh D,5th Sharjah Masters 2022,2022.05.22,0.48190476190476195,0.48190476190476195,0.516,0.496,0.0,,0.42857142857142855,0.42857142857142855,0.5,1.0,,,0.5238095238095238,0.5238095238095238,0.7,1.0,,,0.9112936905719201,0.9112936905719201
Gukesh D,"Suleymanli, Aydin",5th Sharjah Masters 2022,2022.05.23,-0.01818181818181822,-0.01818181818181822,-0.02000000000000004,-0.0,,,0.8181818181818182,0.8181818181818182,1.0,,,,0.8181818181818182,0.8181818181818182,1.0,,,,0.14606972183297828,0.14606972183297828
"Indjic, Aleksandar",Gukesh D,5th Sharjah Masters 2022,2022.05.24,0.11000000000000001,0.11000000000000001,0.074,0.10200000000000001,0.165,,0.5,0.5,0.5,0.25,,,0.6428571428571429,0.6428571428571429,0.7,0.375,,,0.1563708791682513,0.1563708791682513
Gukesh D,"Sethuraman, S",5th Sharjah Masters 2022,2022.05.25,0.06240740740740741,0.08425,0.124,0.203,0.01,-0.0,0.7592592592592593,0.675,0.3,0.9,1.0,1.0,0.8148148148148148,0.75,0.4,1.0,1.0,1.0,0.16241032573811062,0.1842780438248068
"Hovhannisyan, R",Gukesh D,5th Sharjah Masters 2022,2022.05.26,0.14600000000000002,0.14600000000000002,0.36500000000000005,0.0,0.0,,0.8,0.8,1.0,1.0,,,0.84,0.84,1.0,1.0,,,0.5216799785308996,0.5216799785308996
Gukesh D,"Yilmaz, M",5th Sharjah Masters 2022,2022.05.27,0.07800000000000001,0.07800000000000001,0.17500000000000002,0.015000000000000003,0.01,,0.64,0.64,0.8,1.0,,,0.76,0.76,1.0,1.0,,,0.15163003220558474,0.15163003220558474
"Idani, Pouya",Gukesh D,5th Sharjah Masters 2022,2022.05.28,0.19883720930232557,0.213,0.325,0.3429999999999999,0.18399999999999997,0.01,0.5581395348837209,0.525,0.4,0.4,1.0,1.0,0.627906976744186,0.6,0.4,0.6,1.0,1.0,0.37264312879703765,0.3828583456325757
Gukesh D,"Abasov, Nijat",5th Sharjah Masters 2022,2022.05.29,0.0990625,0.0990625,0.10299999999999998,0.205,0.008999999999999998,,0.5625,0.5625,0.4,0.8,1.0,,0.65625,0.65625,0.5,0.8,1.0,,0.23749172311553743,0.23749172311553743
Gukesh D,"Rodriguez Redondo, Adhara",I Menorca Open 2022,2022.04.20,0.24999999999999997,0.24999999999999997,0.35,-0.0,,,0.6428571428571429,0.6428571428571429,1.0,,,,0.6428571428571429,0.6428571428571429,1.0,,,,0.5996152612621376,0.5996152612621376
"Dubkov, Andrej",Gukesh D,I Menorca Open 2022,2022.04.21,0.10809523809523809,0.10809523809523809,0.242,-0.014999999999999968,0.0,,0.5714285714285714,0.5714285714285714,0.9,1.0,,,0.7142857142857143,0.7142857142857143,0.9,1.0,,,0.31626917408465605,0.31626917408465605
Gukesh D,"Batsiashvili, Nino",I Menorca Open 2022,2022.04.21,0.386,0.386,0.555,0.417,-0.053000000000000026,,0.4,0.4,0.2,0.8,0.8,,0.4857142857142857,0.4857142857142857,0.3,0.9,0.8,,0.8680817256185855,0.8680817256185855
"Heimann, Andreas",Gukesh D,I Menorca Open 2022,2022.04.22,0.04508196721311476,0.06875,0.06800000000000003,0.28700000000000003,-0.07999999999999999,0.0,0.819672131147541,0.725,0.3,0.9,1.0,1.0,0.8524590163934426,0.775,0.4,0.9,1.0,1.0,0.2393297791111648,0.2940276238548746
