white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
"Pechac, Jergus","Keymer, Vincent",4th Prague Challengers,2022.06.10,0.30241379310344824,0.30241379310344824,0.20299999999999999,0.674,0.0,,0.7241379310344828,0.7241379310344828,0.7,1.0,,,0.7241379310344828,0.7241379310344828,0.7,1.0,,,0.9888906308601352,0.9888906308601352
"Keymer, Vincent","Niemann, Hans Moke",4th Prague Challengers,2022.06.11,0.15539999999999998,0.19424999999999998,0.13099999999999998,0.11199999999999996,0.534,-0.0,0.7,0.625,0.4,0.6,1.0,1.0,0.82,0.775,0.7,0.6,1.0,1.0,0.6195100434032939,0.6888112669944224
"Michalik, Peter","Keymer, Vincent",4th Prague Challengers,2022.06.13,0.1576470588235294,0.1576470588235294,0.21399999999999997,0.08499999999999999,0.24999999999999994,,0.6176470588235294,0.6176470588235294,0.4,0.7,1.0,,0.6764705882352942,0.6764705882352942,0.5,0.7,1.0,,0.4872374744477675,0.4872374744477675
"Keymer, Vincent","Krzyzanowski, M",4th Prague Challengers,2022.06.14,0.0748936170212766,0.08775,0.15899999999999997,0.011,0.13399999999999998,0.0014285714285714299,0.6595744680851063,0.6,0.9,0.4,0.7,1.0,0.723404255319149,0.675,1.0,0.4,0.8,1.0,0.15258457869006306,0.1618718629039649
"Abdusattorov, Nodirbek","Keymer, Vincent",4th Prague Challengers,2022.06.15,0.10176470588235294,0.10176470588235294,0.22000000000000003,0.126,0.0,,0.6176470588235294,0.6176470588235294,0.6,1.0,0.75,,0.6764705882352942,0.6764705882352942,0.6,1.0,0.75,,0.22874453910667025,0.22874453910667025
"Keymer, Vincent","Stocek, J",4th Prague Challengers,2022.06.16,0.05535714285714286,0.0775,0.10199999999999998,0.11300000000000002,0.095,-0.0,0.7678571428571429,0.675,0.4,0.8,1.0,1.0,0.8392857142857143,0.775,0.6,0.9,1.0,1.0,0.14485057235540463,0.16682172274463292
"Warmerdam, Max","Keymer, Vincent",4th Prague Challengers,2022.06.17,0.09732142857142857,0.15999999999999998,0.181,0.17200000000000001,0.134,-0.05937500000000004,0.5357142857142857,0.425,0.4,0.4,0.5,0.8125,0.6964285714285714,0.625,0.6,0.7,0.6,0.875,0.2713568001488316,0.24179881444429516
"Keymer, Vincent","Niemann, Hans Moke",Bundesliga 2021-22,2022.07.07,0.07627450980392156,0.09774999999999999,0.13999999999999999,0.11300000000000002,0.127,-0.0018181818181818197,0.6470588235294118,0.55,0.5,0.6,0.8,1.0,0.7254901960784313,0.65,0.6,0.6,0.9,1.0,0.17626072488576375,0.19399296180730174
"Grandelius, Nils","Keymer, Vincent",Bundesliga 2021-22,2022.07.08,0.38636363636363635,0.38636363636363635,0.355,0.7,,,0.09090909090909091,0.09090909090909091,0.0,,,,0.09090909090909091,0.09090909090909091,0.0,,,,0.2735789731420427,0.2735789731420427
"Keymer, Vincent","Caruana, Fabiano",Bundesliga 2021-22,2022.07.09,0.043829787234042544,0.03774999999999999,0.11000000000000001,0.030999999999999993,-0.0010000000000000009,0.07857142857142858,0.7659574468085106,0.8,0.9,0.9,0.9,0.5714285714285714,0.7872340425531915,0.8,0.9,0.9,0.9,0.7142857142857143,0.11928324331988242,0.11776742616983128
"Keymer, Vincent","Esipenko, Andrey",55th Biel GM 2022,2022.07.14,0.060000000000000005,0.0645,0.089,0.153,0.015999999999999997,-0.0,0.6744186046511628,0.65,0.4,0.8,1.0,1.0,0.7674418604651163,0.75,0.6,0.8,1.0,1.0,0.12065298528069196,0.12401302661104102
"Kamsky, Gata","Keymer, Vincent",55th Biel GM 2022,2022.07.15,0.2635714285714285,0.2635714285714285,0.36899999999999994,0.0,,,0.42857142857142855,0.42857142857142855,1.0,,,,0.5714285714285714,0.5714285714285714,1.0,,,,0.45213352593534273,0.45213352593534273
"Keymer, Vincent","Abdusattorov, Nodirbek",55th Biel GM 2022,2022.07.16,0.03575757575757576,0.03575757575757576,0.06,0.039,0.019,,0.7575757575757576,0.7575757575757576,0.7,0.9,1.0,,0.8484848484848485,0.8484848484848485,0.8,0.9,1.0,,0.07725891142088005,0.07725891142088005
"Le, Quang Liem","Keymer, Vincent",55th Biel GM 2022,2022.07.19,0.15298507462686567,0.10500000000000001,0.018000000000000002,0.07300000000000004,0.32500000000000007,0.22407407407407406,0.6268656716417911,0.55,0.4,0.1,0.9,0.7407407407407407,0.7611940298507462,0.675,0.7,0.2,1.0,0.8888888888888888,0.48799843183234476,0.19463311969459693
