white,black,event,date,cpLoss,cpLoss1150,cpLoss1120,cpLoss2130,cpLoss3140,cpLoss50end,shareTopMoves,shareTopMoves1150,shareTopMoves1120,shareTopMoves2130,shareTopMoves3140,shareTopMoves50end,shareVGMoves,shareVGMoves1150,shareVGMoves1120,shareVGMoves2130,shareVGMoves3140,shareVGMoves50end,stdDevCPLoss,stDevCPLoss1150
Erigaisi Arjun,"Urkedal, Frode Olav Olsen",Fagernes GM Open 2022,2022.04.14,0.133,0.133,0.429,0.08099999999999999,0.022,,0.725,0.725,0.7,0.9,1.0,,0.75,0.75,0.7,0.9,1.0,,0.324465635650293,0.324465635650293
"Hakobyan, Aram",Erigaisi Arjun,Fagernes GM Open 2022,2022.04.15,0.06846153846153846,0.06846153846153846,0.068,0.11200000000000003,0.05500000000000001,,0.6153846153846154,0.6153846153846154,0.4,0.7,0.8888888888888888,,0.7435897435897436,0.7435897435897436,0.7,0.7,0.8888888888888888,,0.1126834985710083,0.1126834985710083
Erigaisi Arjun,"Donchenko, Alexander",Fagernes GM Open 2022,2022.04.16,0.2037931034482759,0.2037931034482759,0.215,0.23299999999999996,0.1588888888888889,,0.2413793103448276,0.2413793103448276,0.2,0.2222222222222222,,,0.4482758620689655,0.4482758620689655,0.4,0.5555555555555556,,,0.23362689719635463,0.23362689719635463
Nihal Sarin,Erigaisi Arjun,Fagernes GM Open 2022,2022.04.17,0.06666666666666667,0.06666666666666667,0.056999999999999995,0.086,,,0.5333333333333333,0.5333333333333333,0.4,,,,0.6,0.6,0.6,,,,0.093554160529508,0.093554160529508
Erigaisi Arjun,"Aguado Doncel, Pablo Luis",I Menorca Open 2022,2022.04.20,0.12918918918918917,0.12918918918918917,0.24300000000000002,0.23499999999999996,-0.0,,0.6756756756756757,0.6756756756756757,0.5,1.0,1.0,,0.8108108108108109,0.8108108108108109,0.6,1.0,1.0,,0.3243572993747137,0.3243572993747137
Erigaisi Arjun,"Cuenca Jimenez, Jose Fernando",I Menorca Open 2022,2022.04.21,0.03655172413793104,0.03655172413793104,0.06200000000000001,0.0650000000000001,-0.023333333333333428,,0.6551724137931034,0.6551724137931034,0.5,1.0,,,0.7586206896551724,0.7586206896551724,0.7,1.0,,,0.1898547539204824,0.1898547539204824
"Alinasab, Mobina",Erigaisi Arjun,I Menorca Open 2022,2022.04.21,0.1623076923076923,0.1623076923076923,0.081,0.372,-0.05166666666666667,,0.6538461538461539,0.6538461538461539,0.5,0.8333333333333334,,,0.6923076923076923,0.6923076923076923,0.5,0.8333333333333334,,,0.4293558681775079,0.4293558681775079
"Martirosyan, Haik M.",Erigaisi Arjun,I Menorca Open 2022,2022.04.22,0.010625000000000002,0.010625000000000002,0.0020000000000000044,0.025000000000000005,,,0.875,0.875,0.6666666666666666,,,,1.0,1.0,1.0,,,,0.028860295678781022,0.028860295678781022
"Romanishin, Oleg M",Erigaisi Arjun,I Menorca Open 2022,2022.04.23,0.24658536585365853,0.25275,0.215,0.14200000000000007,0.5009999999999999,0.0,0.5853658536585366,0.575,0.6,0.5,0.9,1.0,0.6097560975609756,0.6,0.6,0.6,0.9,1.0,0.5957415956440241,0.6020051430907316
Erigaisi Arjun,"Sargsyan, Shant",I Menorca Open 2022,2022.04.23,0.364074074074074,0.364074074074074,0.3549999999999999,0.32499999999999996,0.4328571428571429,,0.5925925925925926,0.5925925925925926,0.6,0.8571428571428571,,,0.6296296296296297,0.6296296296296297,0.6,0.8571428571428571,,,0.7304701292226875,0.7304701292226875
Erigaisi Arjun,"Sadhwani, Raunak",I Menorca Open 2022,2022.04.24,0.12000000000000001,0.12000000000000001,0.12000000000000001,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,,,0.07937253933193772,0.07937253933193772
Erigaisi Arjun,"Shirov, Alexei",27th Sigeman & Co 2022,2022.05.03,0.16225806451612904,0.16225806451612904,0.12000000000000002,0.375,0.008000000000000007,,0.6129032258064516,0.6129032258064516,0.5,0.9,1.0,,0.6774193548387096,0.6774193548387096,0.5,1.0,1.0,,0.6263795956522389,0.6263795956522389
Erigaisi Arjun,"Salem, A.R. Saleh",27th Sigeman & Co 2022,2022.05.04,0.16499999999999995,0.18024999999999997,0.098,0.37500000000000006,0.14800000000000008,0.08874999999999994,0.4791666666666667,0.425,0.0,0.7,0.7,0.75,0.5625,0.525,0.0,0.8,0.7,0.75,0.3065109070982837,0.3233755259280312
"Niemann, Hans Moke",Erigaisi Arjun,27th Sigeman & Co 2022,2022.05.05,0.27982456140350875,0.32775,0.312,0.11000000000000006,0.32599999999999996,0.16705882352941176,0.47368421052631576,0.275,0.5,0.1,0.2,0.9411764705882353,0.5263157894736842,0.35,0.7,0.1,0.2,0.9411764705882353,0.4861345023611931,0.36986128723464934
